time,open,high,low,close,volume
1672700400000,2057.4,2067.9,2057.4,2058.4,1044
1672701300000,2058.6000000000004,2058.6000000000004,2054,2054.8,645
1672702200000,2055.1000000000004,2055.4,2054,2054.9,238
1672703100000,2054.9,2054.9,2052.5,2054.7,391
1672704000000,2054.6000000000004,2055,2051,2051.5,505
1672704900000,2051.7,2052.5,2050.9,2051.6000000000004,308
1672705800000,2051.3,2052.7,2051.2,2051.6000000000004,194
1672706700000,2051.5,2051.8,2048,2048.3,763
1672707600000,2048.0,2048,2043.6000000000001,2044.4,953
1672708500000,2044.2,2045.6000000000001,2041,2041.6000000000001,757
1672709400000,2041.5,2043.5,2041.3000000000002,2043.1000000000001,399
1672710300000,2043.2,2046.1000000000001,2042.4,2045.8000000000002,373
1672711200000,2045.7,2046.8000000000002,2044.3000000000002,2045.4,260
1672712100000,2045.6000000000001,2047.5,2044.7,2047.0,176
1672713000000,2047.1000000000001,2050.3,2046.3000000000002,2050.0,476
1672713900000,2050.2,2050.4,2048.9,2049.5,196
1672714800000,2049.7,2050.5,2048.8,2049.6000000000004,188
1672715700000,2049.8,2051.1000000000004,2049.3,2050.9,279
1672716600000,2050.9,2054.4,2049.9,2054.0,1019
1672717500000,2053.9,2056.9,2053.9,2055.5,580
1672718400000,2055.6000000000004,2055.9,2053.3,2053.8,254
1672719300000,2053.9,2054.2,2053.5,2054.0,91
1672720200000,2054.2,2054.6000000000004,2053.7,2053.7,91
1672721100000,2053.8,2054,2052.5,2052.5,111
1672722000000,2052.7,2054.6000000000004,2052.6000000000004,2054.1000000000004,129
1672722900000,2054.2,2055,2052.8,2052.9,138
1672723800000,2053.0,2057.2,2052.9,2056.7,317
1672724700000,2057.0,2057.7,2056.1000000000004,2056.6000000000004,139
1672725600000,2056.6000000000004,2056.7,2055.4,2056.5,109
1672726500000,2056.8,2058.1000000000004,2056.3,2057.9,108
1672727400000,2058.2,2058.3,2054.6000000000004,2055.1000000000004,170
1672728300000,2054.8,2055.8,2054.3,2055.8,143
1672729200000,2055.8,2056.9,2053.2,2053.9,256
1672730100000,2054.1000000000004,2055.7,2053.2,2055.7,118
1672731000000,2055.7,2058.6000000000004,2055.6000000000004,2057.9,224
1672731900000,2058.1000000000004,2060.7,2057.2,2060.7,279
1672732800000,2060.5,2063.9,2057.9,2058.0,648
1672733700000,2058.2,2063.4,2058.2,2063.4,454
1672734600000,2063.2,2067.5,2062.3,2065.9,628
1672735500000,2066.5,2067.9,2066.3,2067.0,494
1672736400000,2066.9,2070.7,2066.7,2070.4,934
