time,open,high,low,close,volume
1557093600000,3743.25,3744.25,3713,3713.5,56
1557094500000,3716.75,3719.5,3712.25,3716.5,30
1557095400000,3717.5,3723.5,3717.5,3723.5,55
1557096300000,3723.25,3726,3722.5,3726.0,61
1557097200000,3726.5,3726.5,3722.25,3723.75,100
1557098100000,3723.75,3726.25,3723.25,3725.0,82
1557099000000,3724.5,3726.25,3724.5,3725.0,78
1557099900000,3724.75,3726.25,3710.25,3711.25,325
1557100800000,3712.75,3717.5,3708.5,3715.75,369
1557101700000,3716.0,3717,3711.5,3713.75,219
1557102600000,3713.25,3715.25,3708.75,3711.25,437
1557103500000,3711.75,3713,3705.5,3705.5,299
1557104400000,3705.5,3706.75,3701.25,3705.25,225
1557105300000,3704.5,3708.5,3703.5,3708.0,304
1557106200000,3708.25,3710,3706.75,3709.5,141
1557107100000,3709.5,3712,3709,3711.5,145
1557108000000,3711.5,3713.5,3710.25,3713.25,331
1557108900000,3713.25,3713.25,3708.75,3710.0,214
1557109800000,3709.5,3710.5,3708.5,3709.75,130
1557110700000,3709.5,3709.5,3707.5,3708.5,87
1557111600000,3708.5,3711.25,3708.5,3711.0,105
1557112500000,3711.0,3711.25,3707.75,3707.75,102
1557113400000,3708.5,3708.5,3706,3706.25,103
1557114300000,3706.5,3707,3702.75,3704.25,372
1557115200000,3704.25,3705.75,3703.75,3705.5,52
1557116100000,3705.5,3707,3704.75,3706.5,83
1557117000000,3706.75,3710,3706.75,3710.0,124
1557117900000,3709.5,3719.5,3708.5,3718.5,803
1557118800000,3718.75,3720.5,3714.75,3715.5,1014
1557119700000,3715.25,3716.5,3713,3716.5,517
1557120600000,3716.0,3718,3715,3718.0,845
1557121500000,3718.0,3718.5,3717,3717.25,97
1557122400000,3717.0,3720,3716.25,3716.75,433
1557123300000,3716.25,3717,3711.25,3711.25,212
1557124200000,3711.0,3713.25,3708.75,3711.75,643
1557125100000,3712.0,3714,3709.75,3710.0,455
1557126000000,3710.25,3711.75,3708.5,3710.5,258
1557126900000,3710.75,3721,3710.75,3717.75,455
1557127800000,3717.5,3718.25,3712.5,3714.25,804
1557128700000,3713.75,3716.5,3711.5,3714.25,385
1557129600000,3715.0,3717,3713.25,3715.75,290
1557130500000,3716.0,3716.5,3714,3714.5,66
