time,open,high,low,close,volume
1286147700000,2141.0,2141,2141,2141.0,1
1286152200000,2139.1,2139.1,2139.1,2139.1,1
1286163000000,2138.5,2138.5,2138.5,2138.5,20
1286186400000,2138.0,2138,2138,2138.0,1
1286193600000,2137.4,2137.4,2137.4,2137.4,10
1286198100000,2138.1,2138.1,2138.1,2138.1,1
1286199900000,2137.6,2137.6,2136.9,2137.0,3
1286200800000,2135.9,2135.9,2135.9,2135.9,2
1286202600000,2136.0,2136,2136,2136.0,1
1286212500000,2137.7,2137.7,2137.7,2137.7,1
1286215200000,2137.8,2137.8,2137.7,2137.7,3
1286219700000,2137.4,2137.4,2137.4,2137.4,20
1286222400000,2136.8,2136.8,2136.8,2136.8,1
1286278200000,2148.3,2148.7,2148.3,2148.7,70
1286280000000,2150.1,2150.1,2149.8,2149.8,24
1286280900000,2149.7,2149.7,2149.7,2149.7,11
1286281800000,2151.0,2151.5,2151,2151.5,17
1286282700000,2153.1,2153.1,2153.1,2153.1,3
1286283600000,2153.5,2154,2153.5,2153.9,18
1286287200000,2151.9,2151.9,2151.9,2151.9,1
1286289000000,2155.1,2157.4,2155.1,2157.4,28
1286289900000,2159.3,2160.2,2159.3,2160.2,2
1286290800000,2161.6,2161.6,2161.6,2161.6,2
1286293500000,2161.4,2161.4,2161.4,2161.4,1
1286295300000,2160.4,2160.4,2160.4,2160.4,10
1286297100000,2163.1,2163.1,2162.8,2162.8,2
1286298000000,2163.0,2163,2163,2163.0,1
1286299800000,2160.8,2160.8,2160.8,2160.8,1
1286310600000,2162.2,2162.2,2162.2,2162.2,1
1286311500000,2162.5,2162.5,2162.5,2162.5,1
1286318700000,2162.0,2162,2162,2162.0,1
1286322300000,2162.0,2162,2162,2162.0,40
1286324100000,2163.8,2163.8,2163.8,2163.8,10
1286365500000,2166.5,2168.9,2166.5,2168.7,31
1286366400000,2168.4,2168.4,2167,2167.0,40
1286367300000,2168.3,2169.8,2166.1,2167.3,57
1286368200000,2165.3,2166.7,2164.4,2166.7,15
1286369100000,2164.8,2164.8,2164.8,2164.8,1
1286370900000,2165.0,2166.5,2165,2166.5,13
1286373600000,2168.4,2168.4,2168.4,2168.4,1
1286374500000,2166.5,2167.1,2166.5,2167.1,3
1286375400000,2167.9,2167.9,2167.7,2167.7,3
1286376300000,2167.6,2167.8,2167.6,2167.8,2
1286377200000,2170.9,2170.9,2170.9,2170.9,10
1286379000000,2170.4,2170.4,2170.4,2170.4,10
1286381700000,2171.0,2171,2170.5,2170.5,11
1286382600000,2169.6,2169.6,2169.5,2169.5,9
1286383500000,2169.0,2169,2167.9,2167.9,2
1286384400000,2167.5,2167.5,2167.4,2167.4,11
1286385300000,2166.7,2166.7,2166.7,2166.7,1
1286387100000,2167.5,2167.5,2167.5,2167.5,1
1286388000000,2167.2,2167.2,2167.2,2167.2,1
1286388900000,2167.1,2167.1,2167.1,2167.1,1
1286389800000,2168.5,2168.5,2168.5,2168.5,1
1286390700000,2169.1,2169.1,2169.1,2169.1,1
1286426700000,2174.5,2174.5,2174.5,2174.5,25
1286427600000,2174.5,2174.5,2174.5,2174.5,25
1286443800000,2182.1,2182.1,2182.1,2182.1,10
1286453700000,2176.6,2176.6,2176.6,2176.6,1
1286454600000,2178.0,2178.8,2177.6,2178.5,19
1286455500000,2178.4,2182.6,2178.4,2182.4,45
1286456400000,2181.1,2181.1,2177.7,2177.7,13
1286457300000,2177.7,2179.7,2177.1,2179.7,52
1286458200000,2174.8,2174.8,2169.6,2173.0,50
1286459100000,2171.1,2171.1,2163.9,2167.2,52
1286460000000,2169.7,2171,2166.6,2166.9,23
1286460900000,2165.0,2165,2163.3,2163.7,13
1286461800000,2162.6,2162.6,2159.4,2159.4,31
1286462700000,2159.1,2159.1,2157,2157.0,11
1286463600000,2155.0,2155,2155,2155.0,1
1286466300000,2154.9,2154.9,2154.9,2154.9,5
1286468100000,2153.0,2153,2153,2153.0,1
1286469000000,2150.7,2152.4,2148.7,2152.4,44
1286469900000,2155.3,2156.2,2155.3,2156.2,6
1286470800000,2156.7,2156.7,2156.7,2156.7,10
1286472600000,2155.9,2155.9,2155.9,2155.9,1
1286473500000,2156.3,2156.3,2156.3,2156.3,10
1286474400000,2157.3,2158,2157.3,2158.0,2
1286475300000,2159.6,2159.6,2159.6,2159.6,5
1286477100000,2156.6,2156.6,2156.6,2156.6,10
1286482500000,2156.8,2157.4,2156.8,2157.4,2
1286485200000,2155.9,2155.9,2155.9,2155.9,7
1286500500000,2151.3,2151.3,2151.3,2151.3,10
1286505000000,2154.9,2154.9,2154.9,2154.9,1
1286534700000,2148.4,2148.4,2148.4,2148.4,10
1286541000000,2162.6,2166.2,2159,2166.2,80
1286543700000,2158.6,2158.6,2158.6,2158.6,10
1286544600000,2160.2,2160.2,2157.7,2157.7,12
1286546400000,2165.7,2165.7,2165.7,2165.7,1
1286547300000,2164.1,2164.1,2163.7,2163.7,11
1286548200000,2165.3,2168.3,2165.3,2168.3,17
1286549100000,2167.4,2169.4,2167.4,2169.4,4
1286550000000,2170.0,2170.4,2169.9,2169.9,3
1286553600000,2167.8,2167.8,2167.4,2167.4,6
1286568000000,2169.4,2169.4,2169.1,2169.1,3
1286799300000,2166.2,2166.2,2166.2,2166.2,1
1286800200000,2163.7,2164.1,2162.8,2162.8,14
1286801100000,2164.1,2164.1,2164.1,2164.1,1
1286802000000,2164.8,2167.6,2164.8,2167.6,7
1286802900000,2164.0,2164,2164,2164.0,10
1286803800000,2164.5,2164.5,2164.4,2164.4,2
1286805600000,2171.4,2171.4,2171.4,2171.4,1
1286806500000,2172.4,2172.4,2172.4,2172.4,1
1286807400000,2171.0,2171,2171,2171.0,1
1286808300000,2170.1,2170.1,2166.2,2167.7,28
1286810100000,2169.4,2169.4,2169.3,2169.3,11
1286811000000,2171.0,2171.3,2170.3,2171.3,13
1286811900000,2171.3,2171.3,2171.3,2171.3,1
1286812800000,2169.6,2171.9,2169.6,2171.9,47
1286813700000,2172.5,2174.3,2172.5,2173.3,70
1286814600000,2173.5,2174.1,2173.5,2174.1,40
1286815500000,2174.0,2174.8,2174,2174.8,31
1286816400000,2175.5,2175.5,2174.3,2174.3,21
1286818200000,2175.4,2175.8,2175.4,2175.8,6
1286819100000,2175.2,2175.2,2175.2,2175.2,1
1286825400000,2172.8,2172.8,2172.8,2172.8,1
1286849700000,2170.1,2170.1,2170.1,2170.1,20
1286851500000,2171.9,2171.9,2171.9,2171.9,1
1286852400000,2171.9,2171.9,2171.9,2171.9,1
1286853300000,2172.1,2172.1,2172.1,2172.1,2
1286865900000,2168.5,2168.5,2168.5,2168.5,1
1286866800000,2169.7,2169.7,2169.7,2169.7,10
1286867700000,2169.2,2169.2,2169.2,2169.2,10
1286875800000,2165.9,2165.9,2165.9,2165.9,10
1286883000000,2169.2,2170.1,2169.2,2170.1,20
1286883900000,2170.5,2170.9,2170.5,2170.9,16
1286884800000,2170.6,2170.6,2170.6,2170.6,1
